"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Cs1g09256" 11.2433220032314 0.373347385089069 0.123622769593964 3.00037924528367 0.00269643645965756 0.352189110376303
"Cs1g09330" 52.6785646497511 0.411369591522545 0.100575822311129 4.11507856193233 3.87047565096405e-05 0.229635320371697
"Cs1g10400" 15.3943985163115 0.368867258207714 0.118741162335349 3.07182619324324 0.00212753566105388 0.352189110376303
"Cs1g10430" 3.95636892842329 0.525565218877767 0.136619205180601 3.84513615978595 0.000120485517123022 0.232992556008323
"Cs1g11060" 1.95573142357212 0.413681371886074 0.126849243995582 3.21608975967996 0.00129950180357188 0.352189110376303
"Cs1g11880" 43.1936818403529 0.337703373135943 0.137351068292405 2.65573942672306 0.00791347354101774 0.415235083846554
"Cs1g12900" 4.46159446389342 0.402550741820329 0.137737665421366 2.84029521414914 0.00450718015240035 0.379356588108178
"Cs1g17690" 32.7994525473532 0.331421976083258 0.1267975768737 2.67941150675246 0.00737516947566736 0.415235083846554
"Cs1g19930" 623.205942524526 0.376763380372612 0.137616440614174 2.88481583572452 0.00391642693469731 0.356718657314849
"Cs1g20260" 49.4302758938689 0.360310214421124 0.123675279562247 3.00998809805607 0.0026125792716215 0.352189110376303
"Cs1g21260" 3.99373793893182 0.372711846585439 0.12855062656214 3.13907291853228 0.00169483267820514 0.352189110376303
"Cs1g21750" 702.667820083445 0.35096838343267 0.131888006512955 2.72713809092766 0.00638862966035783 0.408664443367679
"Cs1g25540" 334.487077409448 0.365073295962807 0.134017420538026 2.76139277594167 0.00575554120523396 0.397781656843674
"Cs2g01310" 205.412455566666 0.340297115356114 0.104526901088411 3.29251376460737 0.000992960371478062 0.351715455759961
"Cs2g03220" 128.415267283768 0.380968205952788 0.137310835258549 2.85003230531305 0.00437147887650912 0.373267923324772
"Cs2g03920" 89.6522198004531 0.351782506861373 0.124054642867323 2.86349942728721 0.00418989571505005 0.362900018648058
"Cs2g04460" 21.5828926234408 0.340940175035516 0.134708523823361 2.71245211582904 0.00667874300086775 0.408664443367679
"Cs2g04680" 85.1604711790453 0.393470454243898 0.135270919002817 3.07599356914944 0.00209802370060957 0.352189110376303
"Cs2g05730" 93.3797155061715 0.395860761991279 0.135729964418756 2.93783037403577 0.00330517807481497 0.352189110376303
"Cs2g08390" 4.56349243166982 0.341540533127545 0.133075986517445 2.77776576831134 0.00547340585213374 0.397781656843674
"Cs2g09560" 92.6413390037236 0.356743195931841 0.121456256400013 2.9479416430672 0.00319897446731235 0.352189110376303
"Cs2g09920" 144.421912784959 0.325387795125341 0.103645937764439 3.17322602863074 0.00150755109129787 0.352189110376303
"Cs2g11810" 45.9646643901685 0.309617479328669 0.121380597661658 2.58448246013122 0.00975252648507169 0.415235083846554
"Cs2g14090" 49.3948768471271 0.356930241652914 0.117747536747945 3.01382998261685 0.00257972328813662 0.352189110376303
"Cs2g15520" 4813.50858071907 0.34894253167806 0.132205974847301 2.6667972071929 0.00765778637696175 0.415235083846554
"Cs2g17670" 55.616278236164 0.390283429628555 0.13061420299777 2.99841359401081 0.00271389099289976 0.352189110376303
"Cs2g18020" 34.9218008654745 0.414717230838161 0.118994874553216 3.49899294501712 0.000467018937967607 0.316426172012818
"Cs2g18330" 162.298801243409 0.406742006617902 0.131513776335003 3.17104579712175 0.00151891194618146 0.352189110376303
"Cs2g18810" 20.2623787058876 0.340810157117313 0.1378187028902 2.6407054833916 0.00827336050770421 0.415235083846554
"Cs2g21820" 118.128958120068 0.33977743299114 0.137813102134426 2.58079855568485 0.00985720818497573 0.415235083846554
"Cs2g22530" 5.23290886559396 0.358167993462192 0.137165954233864 2.61899351305317 0.00881896245225377 0.415235083846554
"Cs3g03480" 22.3234071045818 0.338710408660038 0.133432715729641 2.61352099136894 0.00896145785356762 0.415235083846554
"Cs3g03740" 16.5712941778244 0.354055729646254 0.134963617552896 2.65131426782707 0.0080179198006634 0.415235083846554
"Cs3g10190" 258.547689775482 0.449835003373735 0.133397582018784 3.96432994517884 7.36023932330023e-05 0.232992556008323
"Cs3g10680" 24.4643596558315 0.348825706747088 0.130445280201494 3.31634919622164 0.000912017937558436 0.342225347586187
"Cs3g11120" 130.264821494645 0.304884318333079 0.103492310033206 2.96831139377701 0.00299440805896301 0.352189110376303
"Cs3g11160" 73.5286261905753 0.328124676798215 0.124324138052355 2.69680445217543 0.00700083682809822 0.411514792333093
"Cs3g11790" 116.211087163631 0.372969482227203 0.0981452741526404 3.80729631483538 0.000140494369591749 0.232992556008323
"Cs3g13030" 26.8714388809283 0.341873411261726 0.113503733427943 3.00375737283485 0.00266667892853083 0.352189110376303
"Cs3g17830" 162.906038957433 0.338640834073833 0.137552436229981 2.60329102676671 0.00923335378802822 0.415235083846554
