"Group" "Month" "Combined"
"1" "Control" "4" "4 Control"
"2" "Control" "2" "2 Control"
"3" "Control" "2" "2 Control"
"4" "Control" "2" "2 Control"
"5" "Control" "2" "2 Control"
"6" "Control" "2" "2 Control"
"7" "S. citri" "2" "2 S. citri"
"8" "S. citri" "2" "2 S. citri"
"9" "S. citri" "2" "2 S. citri"
"10" "S. citri" "2" "2 S. citri"
"11" "S. citri" "2" "2 S. citri"
"12" "Mild CTV" "2" "2 Mild CTV"
"13" "Mild CTV" "2" "2 Mild CTV"
"14" "Mild CTV" "2" "2 Mild CTV"
"15" "Mild CTV" "2" "2 Mild CTV"
"16" "Mild CTV" "2" "2 Mild CTV"
"17" "Stem-pitting CTV" "2" "2 Stem-pitting CTV"
"18" "Stem-pitting CTV" "2" "2 Stem-pitting CTV"
"19" "Stem-pitting CTV" "2" "2 Stem-pitting CTV"
"20" "Stem-pitting CTV" "2" "2 Stem-pitting CTV"
"21" "CLas" "2" "2 CLas"
"22" "CLas" "2" "2 CLas"
"23" "CLas" "2" "2 CLas"
"24" "CLas" "2" "2 CLas"
"25" "CLas" "2" "2 CLas"
"26" "CLas + Mild CTV" "2" "2 CLas + Mild CTV"
"27" "CLas + Mild CTV" "2" "2 CLas + Mild CTV"
"28" "CLas + Mild CTV" "2" "2 CLas + Mild CTV"
"29" "CLas + Mild CTV" "2" "2 CLas + Mild CTV"
"30" "CLas + Stem-pitting CTV" "2" "2 CLas + Stem-pitting CTV"
"31" "CLas + Stem-pitting CTV" "2" "2 CLas + Stem-pitting CTV"
"32" "CLas + Stem-pitting CTV" "2" "2 CLas + Stem-pitting CTV"
"33" "CLas + Stem-pitting CTV" "2" "2 CLas + Stem-pitting CTV"
"34" "CLas + Stem-pitting CTV" "2" "2 CLas + Stem-pitting CTV"
"35" "Control" "4" "4 Control"
"36" "Control" "4" "4 Control"
"37" "Control" "4" "4 Control"
"38" "Control" "4" "4 Control"
"39" "S. citri" "4" "4 S. citri"
"40" "S. citri" "4" "4 S. citri"
"41" "S. citri" "4" "4 S. citri"
"42" "S. citri" "4" "4 S. citri"
"43" "S. citri" "4" "4 S. citri"
"44" "Mild CTV" "4" "4 Mild CTV"
"45" "Mild CTV" "4" "4 Mild CTV"
"46" "Mild CTV" "4" "4 Mild CTV"
"47" "Mild CTV" "4" "4 Mild CTV"
"48" "Mild CTV" "4" "4 Mild CTV"
"49" "Stem-pitting CTV" "4" "4 Stem-pitting CTV"
"50" "Stem-pitting CTV" "4" "4 Stem-pitting CTV"
"51" "Stem-pitting CTV" "4" "4 Stem-pitting CTV"
"52" "Stem-pitting CTV" "4" "4 Stem-pitting CTV"
"53" "Stem-pitting CTV" "4" "4 Stem-pitting CTV"
"54" "CLas" "4" "4 CLas"
"55" "CLas" "4" "4 CLas"
"56" "CLas" "4" "4 CLas"
"57" "CLas" "4" "4 CLas"
"58" "CLas" "4" "4 CLas"
"59" "CLas + Mild CTV" "4" "4 CLas + Mild CTV"
"60" "CLas + Mild CTV" "4" "4 CLas + Mild CTV"
"61" "CLas + Mild CTV" "4" "4 CLas + Mild CTV"
"62" "CLas + Mild CTV" "4" "4 CLas + Mild CTV"
"63" "CLas + Stem-pitting CTV" "4" "4 CLas + Stem-pitting CTV"
"64" "CLas + Stem-pitting CTV" "4" "4 CLas + Stem-pitting CTV"
"65" "CLas + Stem-pitting CTV" "4" "4 CLas + Stem-pitting CTV"
"66" "CLas + Stem-pitting CTV" "4" "4 CLas + Stem-pitting CTV"
"67" "CLas + Stem-pitting CTV" "4" "4 CLas + Stem-pitting CTV"
"68" "Control" "8" "8 Control"
"69" "Control" "8" "8 Control"
"70" "Control" "8" "8 Control"
"71" "Control" "8" "8 Control"
"72" "Control" "8" "8 Control"
"73" "S. citri" "8" "8 S. citri"
"74" "S. citri" "8" "8 S. citri"
"75" "S. citri" "8" "8 S. citri"
"76" "S. citri" "8" "8 S. citri"
"77" "S. citri" "8" "8 S. citri"
"78" "Mild CTV" "8" "8 Mild CTV"
"79" "Mild CTV" "8" "8 Mild CTV"
"80" "Mild CTV" "8" "8 Mild CTV"
"81" "Mild CTV" "8" "8 Mild CTV"
"82" "Mild CTV" "8" "8 Mild CTV"
"83" "Stem-pitting CTV" "8" "8 Stem-pitting CTV"
"84" "Stem-pitting CTV" "8" "8 Stem-pitting CTV"
"85" "Stem-pitting CTV" "8" "8 Stem-pitting CTV"
"86" "Stem-pitting CTV" "8" "8 Stem-pitting CTV"
"87" "Stem-pitting CTV" "8" "8 Stem-pitting CTV"
"88" "CLas" "8" "8 CLas"
"89" "CLas" "8" "8 CLas"
"90" "CLas" "8" "8 CLas"
